plot,latitude,longitude,slope_degrees,Aspect,date,invasives,recent_timber_harvest,Observers,Other_notes,
1 00,42.318627 N,72.389614 W,1,east,13-Jul,no,no,"IC, GS, CM",,
1 01,42.318464 N,72.390035 W,0,flat,13-Jul,no,no,"GS, CM, IC",,
1 03,42.32352 N,72.37852 W,0,flat,13-Jun,no,yes,"GS, ABP, MP, DS",,
1 07,42.32152 N,72.37846 W,4,south,13-Jun,no,yes,"GS, ABP, MP, DS",at least one big oak stump slash,
1 09,42.31828 N,72.37581 W,10,south,13-Jun,no,yes,"DS, GS, MP, ABP","no invasives, large area, a lot of dead oak",
1 13,42.32410 N,72.3874 W,2,west,13-Jun,no,no,"GS, ABP, MP, DS",Baby and mom black and white warbler on the ground; no invasives,
1 19,42.31931 N,72.37991 W,5,south,13-Jun,no,yes,"DS, GS, ABP, MP","Many trees have some dieback, but not significantly enough",
1 23,42.31988 N,72.38580 W,10,southwest,13-Jun,no,no,"MP, GS, DS, ABP",,
1 28,42.32103 N,72.38164 W,,,8-Jun,yes,yes,"MP, GS, ABP, CM",Spruce planting area; possibly Norway spruce?,
1 29,42.32129 N,72.37852 W,8,south,13-Jun,no,yes,"ABP, DS, GS, MP",On the edge of timber harvest; very close to 1-7; no invasive plants noted,
1 30,42.31941 N,72.32328 W,,,8-Jun,no,yes,"ABP, GS, MP, CM","some spruces in understory, us is mixed HW/C depending on direction we look, previous notes say oak but we saw more maple birch",
1 31,42.31736 N,72.37719 W,10,south,13-Jun,no,yes,"GS, DS, MP, ABP",Same timber harvest as 1-33 and 1-32; stumps and slash; no invasives,
1 32,42.31723 N,72.37763 W,12,south,13-Jun,no,yes,"MP, DS, GS, ABP","No invasives, recent timber harvest",
1 33,42.31630 N,72.37682 W,8,east,13-Jun,no,yes,"GS, ABP, MP, DS","recentely cut/harvested, no invasives",
1 34,42.31649 N,72.30206 W,12,east,8-Jun,no,no,"ABP, GS, MP, CM","evidence of EAB, near small stream",
1 38,42.31954 N,72.38245 W,8,south,8-Jun,no,yes,"ABP, GS, MP, CM","Timber harvest site, lots of slash on ground recent; no invasives",
1 40,42.317821 N,72.388708 W,2,northeast,13-Jul,no,no,"GS, CM, IC",,
1 41,42.317806 N,72.389211 W,2,west,13-Jul,no,no,"GS, CM, IC",,
1 45,42.320462 N,72.370709 W,18,northeast,22-Jul,no,no,"GS, MP, DS",,
1 46,42.318523 N,72.370668 W,16,east,22-Jul,no,yes,"DS, GS, MP",Stumps and ferns,
1 47,42.314804 N,72.370577 W,2,north,22-Jul,no,yes,"MP, GS, DS",LAST PLOT!,
1 50,42.315993 N,72.388249 W,4,east,13-Jul,no,no,"GM, CM, IC",,
1 51,42.315327 N,72.385113 W,6,northeast,13-Jul,no,no,"GS, CM, IC",,
1 52,42.315752 N,72.389935 W,1,east,13-Jul,no,yes,"CM, GS, IC",saw biggest moose poop ive ever seen - char,
1 54,42.315357 N,72.392257 W,8,west,13-Jul,no,no,"GS, CM, IC",,
1 56,42.3133396 N,72.389768 W,,flat,13-Jul,no,no,"CM, GS, IC",,
1 65,42.31143 N,72.37720 W,8,south,29-Jun,no,yes,"MP, DS, GS",Chestnut oak saplings by CO in plot,
1 67,42.30996 N,72.38018 W,16,east,8-Jun,no,no,"MP, CM, ABP, GS",no invasives,
1 69,42.30851 N,72.37794 W,10,southeast,29-Jun,no,yes,"MP, GS, DS",,
1 71,42.31425 N,72.37496 W,3,southeast,29-Jun,no,yes,"GS, MP, DS",,
1 72,42.31376 N,72.37510 W,3,east,29-Jun,no,yes,"GS, MP, DS",Lots of skinny trees with several lage stumps; no trees,
1 73,42.31369 N,72.37472 W,2,east,29-Jun,no,yes,"MP, DS, GS",,
1 75,42.31328 N,72.37717 W,8,east,29-Jun,no,yes,"GS, DS, MP",Lots of dead branches on ground,
1 80,42.31174 N,72.38103 W,11,east,8-Jun,no,no,"ABP, GS, MP, CM",,
1 83,42.30988 N,72.38133 W,11,east,8-Jun,no,no,"ABP, GS, MP, CM",Lots of mountain laurel - pretty! HW oak/maple canopy; no invasives,
1 89,42.31181 N,72.37586 W,5,east,29-Jun,no,yes,"GS, MP, DS",stone wall runs through plot,
1 90,42.31112 N,72.37592 W,8,southeast,29-Jun,no,yes,"GS, MP, DS",potentially birch planted in rows in the recent timber harvest area in the plot,
1 95,42.30881 N,72.37491 W,6,east,29-Jun,yes,no,"GS, MP, DS","Very open field, relatively young (short) pines/trees, no sign of harvest (stumps)",
