plot,plot_2,latitude,longitude,slope_degrees,Aspect,Date,invasives,recent_timber_harvest,Observers,Other_notes
1 00,1_00,42.318627 N,72.389614 W,1,east,13-Jul,no,no,"IC, GS, CM",
1 01,1_01,42.318464 N,72.390035 W,0,flat,13-Jul,no,no,"GS, CM, IC",
1 03,1_03,42.32352 N,72.37852 W,0,flat,13-Jun,no,yes,"GS, ABP, MP, DS",
1 07,1_07,42.32152 N,72.37846 W,4,south,13-Jun,no,yes,"GS, ABP, MP, DS",at least one big oak stump slash
1 09,1_09,42.31828 N,72.37581 W,10,south,13-Jun,no,yes,"DS, GS, MP, ABP","no invasives, large area, a lot of dead oak"
1 13,1_13,42.32410 N,72.3874 W,2,west,13-Jun,no,no,"GS, ABP, MP, DS",Baby and mom black and white warbler on the ground; no invasives
1 19,1_19,42.31931 N,72.37991 W,5,south,13-Jun,no,yes,"DS, GS, ABP, MP","Many trees have some dieback, but not significantly enough"
1 23,1_23,42.31988 N,72.38580 W,10,southwest,13-Jun,no,no,"MP, GS, DS, ABP",
1 28,1_28,42.32103 N,72.38164 W,,,8-Jun,yes,yes,"MP, GS, ABP, CM",Spruce planting area; possibly Norway spruce?
1 29,1_29,42.32129 N,72.37852 W,8,south,13-Jun,no,yes,"ABP, DS, GS, MP",On the edge of timber harvest; very close to 1-7; no invasive plants noted
1 30,1_30,42.31941 N,72.32328 W,,,8-Jun,no,yes,"ABP, GS, MP, CM","some spruces in understory, us is mixed HW/C depending on direction we look, previous notes say oak but we saw more maple birch"
1 31,1_31,42.31736 N,72.37719 W,10,south,13-Jun,no,yes,"GS, DS, MP, ABP",Same timber harvest as 1-33 and 1-32; stumps and slash; no invasives
1 32,1_32,42.31723 N,72.37763 W,12,south,13-Jun,no,yes,"MP, DS, GS, ABP","No invasives, recent timber harvest"
1 33,1_33,42.31630 N,72.37682 W,8,east,13-Jun,no,yes,"GS, ABP, MP, DS","recentely cut/harvested, no invasives"
1 34,1_34,42.31649 N,72.30206 W,12,east,8-Jun,no,no,"ABP, GS, MP, CM","evidence of EAB, near small stream"
1 38,1_38,42.31954 N,72.38245 W,8,south,8-Jun,no,yes,"ABP, GS, MP, CM","Timber harvest site, lots of slash on ground recent; no invasives"
1 40,1_40,42.317821 N,72.388708 W,2,northeast,13-Jul,no,no,"GS, CM, IC",
1 41,1_41,42.317806 N,72.389211 W,2,west,13-Jul,no,no,"GS, CM, IC",
1 45,1_45,42.320462 N,72.370709 W,18,northeast,22-Jul,no,no,"GS, MP, DS",
1 46,1_46,42.318523 N,72.370668 W,16,east,22-Jul,no,yes,"DS, GS, MP",Stumps and ferns
1 47,1_47,42.314804 N,72.370577 W,2,north,22-Jul,no,yes,"MP, GS, DS",LAST PLOT!
1 50,1_50,42.315993 N,72.388249 W,4,east,13-Jul,no,no,"GM, CM, IC",
1 51,1_51,42.315327 N,72.385113 W,6,northeast,13-Jul,no,no,"GS, CM, IC",
1 52,1_52,42.315752 N,72.389935 W,1,east,13-Jul,no,yes,"CM, GS, IC",saw biggest moose poop ive ever seen - char
1 54,1_54,42.315357 N,72.392257 W,8,west,13-Jul,no,no,"GS, CM, IC",
1 56,1_56,42.3133396 N,72.389768 W,,flat,13-Jul,no,no,"CM, GS, IC",
1 65,1_65,42.31143 N,72.37720 W,8,south,29-Jun,no,yes,"MP, DS, GS",Chestnut oak saplings by CO in plot
1 67,1_67,42.30996 N,72.38018 W,16,east,8-Jun,no,no,"MP, CM, ABP, GS",no invasives
1 69,1_69,42.30851 N,72.37794 W,10,southeast,29-Jun,no,yes,"MP, GS, DS",
1 71,1_71,42.31425 N,72.37496 W,3,southeast,29-Jun,no,yes,"GS, MP, DS",
1 72,1_72,42.31376 N,72.37510 W,3,east,29-Jun,no,yes,"GS, MP, DS",Lots of skinny trees with several lage stumps; no trees
1 73,1_73,42.31369 N,72.37472 W,2,east,29-Jun,no,yes,"MP, DS, GS",
1 75,1_75,42.31328 N,72.37717 W,8,east,29-Jun,no,yes,"GS, DS, MP",Lots of dead branches on ground
1 80,1_80,42.31174 N,72.38103 W,11,east,8-Jun,no,no,"ABP, GS, MP, CM",
1 83,1_83,42.30988 N,72.38133 W,11,east,8-Jun,no,no,"ABP, GS, MP, CM",Lots of mountain laurel - pretty! HW oak/maple canopy; no invasives
1 89,1_89,42.31181 N,72.37586 W,5,east,29-Jun,no,yes,"GS, MP, DS",stone wall runs through plot
1 90,1_90,42.31112 N,72.37592 W,8,southeast,29-Jun,no,yes,"GS, MP, DS",potentially birch planted in rows in the recent timber harvest area in the plot
1 95,1_95,42.30881 N,72. 37491 W,6,east,29-Jun,yes,no,"GS, MP, DS","Very open field, relatively young (short) pines/trees, no sign of harvest (stumps)"
1 97,1_97,42.30821 N,72.38407 W,8,west,8-Jun,no,no,"ABP, GS, MP, CM","fallen oak near plot center > 50 cm, no invasive plants"
1 98,1_98,42.30972 N,72.37284 W,10,northeast,29-Jun,no,no,"GS, MP, DS",steeper slope north a little further away from plot center
2 05,2_05,42.39137 N,72.38483 W,16,east,15-Jul,no,no,"GS, DS, CL",
2 07,2_07,42.39124 N,72.38563 W,8,east,13-Jul,no,no,"GS, DS, CL",
2 08,2_08,42.39117 N,72.38520 W,10,east,15-Jul,no,no,"GS, DS, CL",rocky area
2 15,2_15,42.38982 N,72.39142 W,2,Southeast,15-Jul,no,no,"GS, DS, CL","creek runs through plot, past timber harvest with mossy stumps"
2 16,2_16,42.38950 N,72.39266 W,3,south,15-Jul,no,no,"GS, DS, CL","plot at edge is on top of slope and below slope is creek, past timber harvest "
2 23,2_23,42.39021 N,72.39053 W,4,west,15-Jul,no,no,"GS, DS, CL",
2 24,2_24,42.39021 N,72.39053 W,2,east,15-Jul,no,no,"GS, DS, CL",Past timber harvest mossy stumps
2 31,2_31,41.388321 N,72.389290 W,2,north,20-Jul,no,no,"GS, MP, SF",By dried up creek thats rocky
2 38,2_38,42.387654 N,72.382712 W,2,Northeast,20-Jul,no,no,"GS, MP, SF",
2 39,2_39,42.387439 N,72.382729 W,1,northeast,20-Jul,no,no,"GS, MP, SF",
2 40,2_40,42.386874 N,72.382983 W,10,northeast,20-Jul,no,no,"MP, GS, SF",
2 41,2_41,42.386877 N,72.384495 W,2,east,20-Jul,no,no,"GS, SF, MP",
2 47,2_47,42.385453 N,72.387258 W,2,east,20-Jul,no,no,"GS, MP, SF",
2 49,2_49,42.38575 N,72.37862 W,4,northeast,15-Jul,no,no,"GS, DS, CL",
2 50,2_50,42.38530 N,72.37748 W,5,east,15-Jul,no,no,"GS, DS, CL",
3 00,3_00,42.37742 N,72.34236 W,8,east,7-Jun,no,no,"MO, DS, MP GS","Thick understory might be limiting ground growth, assumed no invasives"
3 04,3_04,42.37557 N,72.33245 W,6,east,15-Jun,yes,no,"GS, MP, DS, CM",Barberry nearby
3 14,3_14,42.369806 N,72.329893 W,10,east,7-Jul,no,no,"MP, DS, GS","all dbh's in inches, barbed wire"
3 15,3_15,42.36971 N,72.132948 W,5,southeast,7-Jul,no,no,"DS, GS, MP",
3 16,3_16,42.37496 N,72.33077 W,5,east,15-Jun,no,yes,"GS, MP, DS, CM",stumps present would have been included if still standing tress 
3 17,3_17,42.37445 N,72.33096 W,3,west,15-Jun,no,yes,"GS, MP, DS, CM",
3 19,3_19,42.37395 N,72.32964 W,4,south,15-Jun,no,no,"GS, MP, DS, CM",
